"Year","State_Abbr","State","Binge_Drinking_Prevalence","Legalized","Bachelors_Rate","Median_Age","Urbanization_Rate","Legalization_Year","G","State_ID"
2011,"AL","Alabama",13.7,0,22.3,38.1,0.58304,NA,0,1
2011,"AK","Alaska",20.8,1,26.4,33.9,0.59651,2014,2014,2
2011,"AZ","Arizona",17.6,0,26.6,36.2,0.88484,NA,0,3
2011,"AR","Arkansas",14.1,0,20.3,37.5,0.54736,NA,0,4
2011,"CA","California",18.6,1,30.3,35.4,0.93649,2016,2016,5
2011,"CO","Colorado",20.1,1,36.7,36.2,0.83236,2012,2012,6
2011,"CT","Connecticut",17.9,0,36.2,40.3,0.87799,NA,0,7
2011,"DE","Delaware",20.3,0,28.8,39.1,0.83631,NA,0,8
2011,"DC","District of Columbia",25,1,52.5,33.4,1,2014,2014,9
2011,"FL","Florida",17.1,0,25.8,41.1,0.91191,NA,0,10
2011,"GA","Georgia",16.6,0,27.6,35.5,0.7384,NA,0,11
2011,"HI","Hawaii",21.5,0,29.1,38.5,0.89037,NA,0,12
2011,"ID","Idaho",16.6,0,25.2,35,0.66993,NA,0,13
2011,"IL","Illinois",23,0,31,36.8,0.87698,NA,0,14
2011,"IN","Indiana",17.8,0,23,37.1,0.73065,NA,0,15
2011,"IA","Iowa",23.1,0,25.8,38.1,0.63444,NA,0,16
2011,"KS","Kansas",17,0,30.1,36.3,0.7289,NA,0,17
2011,"KY","Kentucky",16.1,0,21.1,38.2,0.58051,NA,0,18
2011,"LA","Louisiana",16.1,0,21.1,35.9,0.72907,NA,0,19
2011,"ME","Maine",17.3,1,28.4,43.2,0.34957,2016,2016,20
2011,"MD","Maryland",18,0,36.9,38,0.87005,NA,0,21
2011,"MA","Massachusetts",20.6,1,39.1,39.3,0.91378,2016,2016,22
2011,"MI","Michigan",19.7,0,25.6,39.2,0.71833,NA,0,23
2011,"MN","Minnesota",22.1,0,32.4,37.6,0.69697,NA,0,24
2011,"MS","Mississippi",14.2,0,19.8,36.1,0.48863,NA,0,25
2011,"MO","Missouri",19.2,0,26.1,38,0.69372,NA,0,26
2011,"MT","Montana",20.8,0,28.2,39.7,0.52157,NA,0,27
2011,"NE","Nebraska",22.7,0,27.9,36.3,0.70823,NA,0,28
2011,"NV","Nevada",18.6,1,22.5,36.7,0.93523,2016,2016,29
2011,"NH","New Hampshire",18.7,0,33.4,41.5,0.55977,NA,0,30
2011,"NJ","New Jersey",18.2,0,35.3,39.2,0.94833,NA,0,31
2011,"NM","New Mexico",16.4,0,25.6,36.6,0.74999,NA,0,32
2011,"NY","New York",19.6,0,32.9,38.1,0.85533,NA,0,33
2011,"NC","North Carolina",15.2,0,26.9,37.7,0.64549,NA,0,34
2011,"ND","North Dakota",23.8,0,26.3,36.6,0.57664,NA,0,35
2011,"OH","Ohio",20.1,0,24.7,39.1,0.79292,NA,0,36
2011,"OK","Oklahoma",16.5,0,23.8,36.3,0.65473,NA,0,37
2011,"OR","Oregon",16.5,1,29.3,38.7,0.79295,2014,2014,38
2011,"PA","Pennsylvania",18.3,0,27,40.3,0.77374,NA,0,39
2011,"RI","Rhode Island",19.7,0,31.1,39.5,0.90504,NA,0,40
2011,"SC","South Carolina",15.4,0,24.1,38,0.66742,NA,0,41
2011,"SD","South Dakota",22.1,0,26.3,37.1,0.5545,NA,0,42
2011,"TN","Tennessee",10,0,23.6,38.3,0.65637,NA,0,43
2011,"TX","Texas",18.9,0,26.4,33.7,0.82988,NA,0,44
